attraction_name,attraction_address,zip_code,attraction_rating,attraction_n_reviews,attraction_url,description,top_review,ID
Carmel Old Town Antique Mall,"1005 3rd Ave SW, Carmel, IN 46032-7568",46032,4.5,18,https://www.tripadvisor.com/Attraction_Review-g36990-d9718806-Reviews-Carmel_Old_Town_Antique_Mall-Carmel_Hamilton_County_Indiana.html,Carmel Old Town Antique Mall,"First of all they have moved to 1005 3rd Avenue Southwest which is about a mile away from the original downtown location. We found this out the hard way by going to the original location where we saw a sign on the door with the new address. Fortunately the new location is newer, brighter and larger than the old downtown location. We found quite a number of cool items there of which I came home with a couple. The owner told us they were forced to move out last November and opened the new location in January. They plan to open another portion of the building in May I believe. The good news is there is plenty of parking here. When will TripAdvisor update this information? I’m not sure but please double-check by googling the business website or calling for correct information to save you time and aggravation.",800
Carmel Farmers Market,"2 Carter Grn, Carmel, IN 46032-3807",46032,4.5,9,https://www.tripadvisor.com/Attraction_Review-g36990-d10595459-Reviews-Carmel_Farmers_Market-Carmel_Hamilton_County_Indiana.html,Carmel Farmers Market,"We go here every Saturday morning we can during the summer.  Live music, good food, fresh corn to take home.  Even stuff for the dogs!",871
Carmel Fire Buffs and Museum,"210 1st Ave SW, Carmel, IN 46032-2011",46032,4.5,2,https://www.tripadvisor.com/Attraction_Review-g36990-d10692981-Reviews-Carmel_Fire_Buffs_and_Museum-Carmel_Hamilton_County_Indiana.html,Carmel Fire Buffs and Museum,I am not sure of the hours but this a must see for any one interested in fire apparatus.  They have a couple of one of a kind rigs and a very knowledge staff of volunteers.  Make you check times and days as there is building construction behind there property,919
The Studio Theater,"4 Center Grn, Carmel, IN 46032-3812",46032,5,2,https://www.tripadvisor.com/Attraction_Review-g36990-d15127312-Reviews-The_Studio_Theater-Carmel_Hamilton_County_Indiana.html,The Studio Theater,"We’ve enjoyed performances at the Palladium and Tarkington, but this was our first visit to The Studio Theater. Located in the same building, it’s very convenient to free parking and in mid-December you can also enjoy the nearby skating rink and shops that surround it. This is an intimate, flexible performance space with seating for 200. We saw “It’s a Wonderful Life: A Live Radio Play” and it was a wonderful play for the season. It was simply staged as a 1940’s New York radio broadcast with most actors playing multiple roles. Very well done and effective. Seeing the familiar story this way gave me a new appreciation for how well-written it is.",1044
Meadowlark Park,"450 Meadow Ln, Carmel, IN 46032",46032,4.5,5,https://www.tripadvisor.com/Attraction_Review-g36990-d6921557-Reviews-Meadowlark_Park-Carmel_Hamilton_County_Indiana.html,Meadowlark Park,,1126
Midland Arts,"488 Gradle Dr, Carmel, IN 46032-2536",46032,3,1,https://www.tripadvisor.com/Attraction_Review-g36990-d9718383-Reviews-Midland_Arts-Carmel_Hamilton_County_Indiana.html,Midland Arts,The amount of antique items pales in comparison to the main shop in Indianapolis. There are a number of high end antiques here at high prices because it is Carmel. I was not overly impressed and only needed about 30 minutes to look through all of the booths in the place.,1359
Hoosier Heights Indianapolis,"9850 Mayflower Park Dr, Carmel, IN 46032-7930",46032,4.5,19,https://www.tripadvisor.com/Attraction_Review-g36990-d2619122-Reviews-Hoosier_Heights_Indianapolis-Carmel_Hamilton_County_Indiana.html,"Hoosier Heights Indianapolis offers the best indoor climbing experience in the city, suitable for all climbers – from the first time beginner to the 5.14 expert lead climber.",I've been climbing here at Hoosier Heights for many years.  Staff are very helpful and friendly.  There are routes for beginners and experienced climbers.  Routes are changed frequently.  ,1669
Laser Flash,"617 3rd Ave SW, Carmel, IN 46032-2083",46032,4.5,19,https://www.tripadvisor.com/Attraction_Review-g36990-d3862553-Reviews-Laser_Flash-Carmel_Hamilton_County_Indiana.html,Indiana's largest and best multi-level laser tag arena for upto 42 players at a time. Large arcade and party seating. Noble Roman's pizza kitchen serves Pepsi products and beer and wine.,,1679
DECEPTION,"1 Carmichael Sq Carmel, Indianapolis, IN 46032",46032,4.5,9,https://www.tripadvisor.com/Attraction_Review-g37209-d23878269-Reviews-DECEPTION-Indianapolis_Indiana.html,"DECEPTION is a magic & mind reading show, hosted by magician David Ranalli. David creates an unforgettable evening by combining world-class sleight of hand, witty banter, and mysteries of the mind. Guests are invited into an intimate, cabaret theater where surprises lurk in every corner. Perfect as a date night, group event, and for the hardcore magic fan.","An evening of great food, great laughs, and miraculous magic. Would recommend to anyone from the area or visiting for a short stay. David has a way of captivating the audience through quick wit and superb magic that will keep you asking “How did he do that?” all through the night.",1688
Flix Brewhouse,"2160 E 116th St, Carmel, IN 46032-3213",46032,4,40,https://www.tripadvisor.com/Attraction_Review-g36990-d8041302-Reviews-Flix_Brewhouse-Carmel_Hamilton_County_Indiana.html,Flix Brewhouse,,1726
Muldoon's,"111 W Main St Ste 100, Carmel, IN 46032-2064",46032,4.5,28,https://www.tripadvisor.com/Attraction_Review-g36990-d5833806-Reviews-Muldoon_s-Carmel_Hamilton_County_Indiana.html,Muldoon's,"We have never had a meal we didn’t enjoy at Muldoons. They have such wonderful food on a fabulous menu. One of our favorites is the tenderloin. It is nice that you can get the smaller one ... the regular sized one is bigger than your head, but so good you have to eat it all.",1753
Painting with a Twist,"301 E Carmel Dr Ste A500, Carmel, IN 46032-4831",46032,4.5,10,https://www.tripadvisor.com/Attraction_Review-g36990-d16882032-Reviews-Painting_with_a_Twist-Carmel_Hamilton_County_Indiana.html,"Uncork your inner artist! Come enjoy an evening out with friends, have a date night, celebrate a special occasion, or come alone and meet new people! We supply everything you will need to complete your masterpiece, including an artist to lead you step-by-step while listening to great music while sipping on your favorite beverage from our Twisted Tiki Bar. We also offer Family classes on Saturday",,1896
Silver in the City,"111 W Main St #150, Carmel, IN 46032-1910",46032,5,7,https://www.tripadvisor.com/Attraction_Review-g36990-d12589001-Reviews-Silver_in_the_City-Carmel_Hamilton_County_Indiana.html,Silver in the City,"I actually visited the Indianapolis location, but it doesn't show up on Trip Advisor.  I loved this store!  Super friendly staff, great location, and a great selection of products.  I will definitely be visiting when I'm back in town!",1898
The Warehouse,"254 1st Ave SW, Carmel, IN 46032-2011",46032,4.5,12,https://www.tripadvisor.com/Attraction_Review-g36990-d10036052-Reviews-The_Warehouse-Carmel_Hamilton_County_Indiana.html,The Warehouse,,2110
Rejuvenating Touch Massage & Bodywork,"1980 E 116th St Suite 235, Carmel, IN 46032-3599",46032,5,6,https://www.tripadvisor.com/Attraction_Review-g36990-d12567773-Reviews-Rejuvenating_Touch_Massage_Bodywork-Carmel_Hamilton_County_Indiana.html,"Offering a large variety of massage & bodywork therapies in a relaxing, and peaceful environment. One of the many features that set Rejuvenating Touch apart from others is a custom-made light fixture providing light and color therapy also known as chromotherapy. This allows for healing and deeper relaxation. Teresa Hultz is the owner and only bodyworker at Rejuvenating Touch Massage & Bodywork. Online scheduling available.",I have been all over and I have finally found the absolute best massage therapist! I go 1-2 monthly.,2114
Out of the Blue Polish Pottery & Gifts,"719 Hanover Pl Suite 144, Carmel, IN 46032",46032,4.5,2,https://www.tripadvisor.com/Attraction_Review-g36990-d21313014-Reviews-Out_of_the_Blue_Polish_Pottery_Gifts-Carmel_Hamilton_County_Indiana.html,"Out of the Blue Polish Pottery & Gifts, in Carmel, IN, is a Polish and handmade pottery store serving Hamilton, Boone and Marion counties and surrounding areas since 2006. We specialize in handcrafted and hand decorated pottery from Boleslawiec, Poland. We offer a variety of traditional and signature patterns in many shapes. For your next Polish pottery or gift purchase, visit Out of the Blue Polish Pottery & Gifts in Carmel.","This was a must see as the wife is such a huge fan of polish pottery. We thankfully made it to the place about 20 minutes to close (so sorry about that!) after driving an hour from visiting other places in the area. Very friendly staff with excellent selections & designs to choose from. We only wish there was such a place closer to us to shop at more often. On second thought...knowing the wife, she'd buy up the whole store if she could, so perhaps not, ha. ",2219
The Paint Cellar,"581 S Rangeline Rd, Carmel, IN 46032-2100",46032,5,4,https://www.tripadvisor.com/Attraction_Review-g36990-d4266220-Reviews-The_Paint_Cellar-Carmel_Hamilton_County_Indiana.html,The Paint Cellar,"The Paint Cellar is THE best place to paint. The instructors are patient, knowledgeable, and fun. Concepts are explained, and you are given enough time to get it on canvas. The atmosphere is so relaxed. You are welcomed when you walk thru the door. I keep coming back!",2304
Carmel Community Players,"14299 Clay Terrace Blvd, Carmel, IN 46032-3617",46032,4.5,3,https://www.tripadvisor.com/Attraction_Review-g36990-d4718061-Reviews-Carmel_Community_Players-Carmel_Hamilton_County_Indiana.html,Carmel Community Players,"Love amateur theater.  People performing for the sheer love of acting.  All to often this means less than stellar performances.  Not so with CCP.  I have enjoyed several productions over the past year and the shows have always presented a polished, professional appearance.  Sets are serviceable if not elaborate.  My only concern is that, at present, they are wanderers having lost the lease on their theater at Clay Terrace.  Hope they will settle soon.",2597
Woodhouse Day Spa,"2182A E 116th St Merchants Square, Carmel, IN 46032-3213",46032,3.5,23,https://www.tripadvisor.com/Attraction_Review-g36990-d3477584-Reviews-Woodhouse_Day_Spa-Carmel_Hamilton_County_Indiana.html,Woodhouse Day Spa,"I went in for a 50 minute Swedish massage session.  The Spa center is well designed.  There is a change room with lockers and a shower.  You are provided with a robe to change.  From there you transition to the waiting room–this is well stocked with flavored water, tea and snacks to avail to.  I adhered to their no cell phone policy, but I found others using their phones in the waiting room[ which was a disappointment].  My Swedish massage itself was just okay.  My masseuse asked me whether any particular area needed more attention, and I mentioned about my back.  However, I found that it actually did not matter. More time was spent on my limbs than on my back.  I was amused when the masseuse mentioned that my back pain is related to from firm glutes.  Being a physician [and she knew I was one], I knew she was giving wrong information.  Firm gluteals will actually help with better back  [ and she mentioned that I may be climbing a lot of stairs, which I may do, so I don’t think she mistook it for tight glutes]. However, I did not say anything to her.  When it was time to leave, she mentioned that I should schedule another appointment to help for my  back and gluteals.  Given that the massage did not make a deep big difference [I have had better ones in other places], I will have to think about it. My advice for the masseuse–please be careful in dispensing information.  For those attending–if you are given such information, please take it with a pinch of salt.  Overall–nice place; as for the massage–not overly satisfied.",2772
Pedego Electric Bikes Carmel,"254 1st Ave SW Suite E, Carmel, IN 46032-2011",46032,5,1,https://www.tripadvisor.com/Attraction_Review-g36990-d12854236-Reviews-Pedego_Electric_Bikes_Carmel-Carmel_Hamilton_County_Indiana.html,"Pedego Carmel is the place for electric bicycles in Carmel and beyond. We are passionate about electric bikes, and we put our full hearts into everything that we do. We treat our customers like dear friends because that’s exactly what you are to us. Please visit us and take a free test ride on a Pedego Electric Bike today. Hello, fun…",,2813
Shoot Point Blank,"1250 City Center Dr, Carmel, IN 46032-3810",46032,5,1,https://www.tripadvisor.com/Attraction_Review-g36990-d16831166-Reviews-Shoot_Point_Blank-Carmel_Hamilton_County_Indiana.html,Shoot Point Blank,,2844
Salon 01,"200 W City Center Dr, Carmel, IN 46032-3803",46032,5,1,https://www.tripadvisor.com/Attraction_Review-g36990-d14995618-Reviews-Salon_01-Carmel_Hamilton_County_Indiana.html,Salon 01,"Love this place, everything you need is all available here! From a manicure and pedicure to highlights and spray tan! They even offer facials and lash extensions! This two-story salon is very nice without being so trendy that you feel uncomfortable. The product area is great, lots of hair and makeup selections as well as really cute gift ideas! The staff is super friendly and the place is really, really clean! I am now a regular here for multiple beauty and salon needs, cannot recommend higher than here!",2892
CCA Gallery,"111 W Main St, Carmel, IN 46032-1910",46032,5,1,https://www.tripadvisor.com/Attraction_Review-g36990-d12292638-Reviews-CCA_Gallery-Carmel_Hamilton_County_Indiana.html,CCA Gallery,Great gallery.  Nice selection of art to choose from.  Reasonably priced.  Open 7 days a week which is great considering many of the stores are not.  We enjoyed our time there.  Made a purchase.  Knowledgeable staff.  Be sure to stop.,3166
Polish Nail Salon,"20 Executive Dr Ste. D, Carmel, IN 46032-2921",46032,2,15,https://www.tripadvisor.com/Attraction_Review-g36990-d10783069-Reviews-Polish_Nail_Salon-Carmel_Hamilton_County_Indiana.html,"Welcome to Polish Nail Salon, located in Carmel, IN. We offer a wide variety of salon services, including manicures, pedicures, gel nails, and eyebrows. We have good parking, convenient appointments available and walk-ins are welcome, making us a great choice for customers!","i went to this nail salon for a event i had to go to. when i stepped foot into the salon a lady looked at me and kissed her teeth. which was very rude and disrespectful. when i asked what nails i wanted right then and there a lady stormed in the salon and came up to me. she ripped off my glasses and stole them then left. then when the lady asked for what colour i said pink but she gave me yellow. when she asked for the shape i said give me dragon nails the kanjaar gave me this flipper flappers. when i was getting my nails done, a saw a rat in the back with a blonde wig on. overall the experience was good, they served me  stale bread with peanut   butter and served me wine which looked like they collected from the stream. but they had gotten my nails done and i was happy. all good vibes xx may come again 😘",3273
Great American Songbook Foundation Exhibit,"1 Center Grn, Carmel, IN 46032-3809",46032,5,1,https://www.tripadvisor.com/Attraction_Review-g36990-d19921414-Reviews-Great_American_Songbook_Foundation_Exhibit-Carmel_Hamilton_County_Indiana.html,Great American Songbook Foundation Exhibit,This is an educational exhibit about the Great American Songbook.  You will find the Songbook Gallery on the top floor of the Palladium in Carmel. You enter at the box office and tell them you want to visit the Songbook exhibit. Someone will escort you through the building. Right now you can learn about Broadway and politics. The exhibit changes annually.  ,3418
River Road Park,"12575 River Rd, Carmel, IN 46033-9331",46033,4.5,9,https://www.tripadvisor.com/Attraction_Review-g36990-d2196935-Reviews-River_Road_Park-Carmel_Hamilton_County_Indiana.html,River Road Park,,996
Sol Hot Yoga Studio,"7245 E 146th St Suite 130, Carmel, IN 46033-9858",46033,4,3,https://www.tripadvisor.com/Attraction_Review-g36990-d17672642-Reviews-Sol_Hot_Yoga_Studio-Carmel_Hamilton_County_Indiana.html,"Still your mind. Rejuvenate your body. Cultivate your soul!
A Veteran- and Minority-Woman owned hot yoga studio specializing in Hatha and Vinyasa styles, offering group classes, private sessions, workshops, and a Registered Yoga Teacher Training School (RYS-200).
Begin your journey with mindfulness!",,1133
Prairie View Golf Club,"7000 Longest Dr, Carmel, IN 46033-8829",46033,3.5,13,https://www.tripadvisor.com/Attraction_Review-g36990-d2665669-Reviews-Prairie_View_Golf_Club-Carmel_Hamilton_County_Indiana.html,"Located on 206 acres in Hamilton County, Prairie View Golf Club is the only Robert Trent Jones, Jr. golf course in Indiana.Robert Trent Jones, Jr. blended 18 holes of traditional golf design into the natural beauty created by the rolling prairie, towering oaks and sycamores that characterize our site on the banks of the White River. A clear running stream that meanders through four holes, natural wetlands, and five serene lakes placed strategically throughout the course serve to complete a truly unique playing experience.","I think I can give 4.5 stars - not quite 5 stars:) This course is located in nicer part of Indianapolis, beautiful neighborhoods, smooth roads, no potholes :). Staff are very nice, and the golf shop is well stocked. I think this is a semi-private club, they do have member lockers. They have a starter to help you and we started on time. Course is little bit wet, due to recent rains - like most of the last two weeks:( course is mostly flat, with couple holes next to water or stream. It is well maintained overall and they do have ball washers on almost every single hole - compare to other “nice” courses. All in all I really enjoyed my round here, just wish my score was little better :)",2355
Massage Envy,"1950 E Greyhound Pass Suite 10, Carmel, IN 46033-7787",46033,5,1,https://www.tripadvisor.com/Attraction_Review-g36990-d13999057-Reviews-Massage_Envy-Carmel_Hamilton_County_Indiana.html,Massage Envy,,2907
Plum Creek Gold Club,"12401 Lynnwood Blvd, Carmel, IN 46033-8815",46033,4,4,https://www.tripadvisor.com/Attraction_Review-g36990-d12896269-Reviews-Plum_Creek_Gold_Club-Carmel_Hamilton_County_Indiana.html,Plum Creek Gold Club,,3047
Topgolf,"9200 E 116th St, Fishers, IN 46037-2830",46037,4,131,https://www.tripadvisor.com/Attraction_Review-g37104-d12981078-Reviews-Topgolf-Fishers_Hamilton_County_Indiana.html,"Topgolf blends technology and entertainment, golfers and non-golfers, children and adults – to create an experience that makes socializing a sport for everyone. Each venue features fun and competitive golf games, climate-controlled hitting bays for year-round comfort, a chef-inspired food and drink menu, private spaces for groups of any size, HDTVs to watch the big game and amazing music.",,450
The Wellington Banquet Center,"9775 N By Northeast Blvd, Fishers, IN 46037-9786",46037,4,13,https://www.tripadvisor.com/Attraction_Review-g37104-d2515967-Reviews-The_Wellington_Banquet_Center-Fishers_Hamilton_County_Indiana.html,The Wellington Banquet Center,,519
